"model","metric","time","pct.sparsity","npar","rel_gr"
"causal","sparse",0.7989,78.7,264,1.19
"diamonds","dense",2.8394,0,26,1
"dlm","dense",0.1305,8.14,33,1.06
"gp_pois_regr","dense",0.0366,0,13,1.1
"irt_2pl","dense",0.4361,56.32,144,1.24
"irt_2pl_nc","dense",0.4366,56.23,144,1.24
"kilpisjarvi","dense",0.0259,0,3,1.13
"lynx","dense",0.1541,63.02,50,1.14
"petrel","sparse",75.70645,94.29,274,1.01
"pollock","sparse",1.9331,28.28,351,1.12
"radon","diag",0.5021,98.46,389,1.02
"salamanders","dense",0.3404,44.53,39,1.02
"sam","sparse",0.6422,96.57,1226,1.42
"schools","diag",0.0207,62.22,10,1.09
"sdmTMB","sparse",12.2422,81.25,219,1.01
"swallows","sparse",1.9342,75.41,177,1.05
"wham","sparse",0.5847,66.45,385,1.32
"wildf","sparse",0.949,98.42,1101,1.17
